id,"name","nodc_sd2","description",year,ship_id,"created_at","updated_at"
1,"natl.1952.AB.13N.joa","A1952ABA.TXT","A section of 12 stations along 13N, 30.2 degrees West to 19.116 degrees West. All have temperature, salinity, oxygen. Some have phosphate, nitrate. None have silicate. ",1952,1,"2011-01-27 21:34:13","2011-01-27 21:34:14"
2,"natl.1952.AB.21W_17W.joa","A1952ABB.TXT","A section of 7 stations from 7.783 degrees North to 12.466 degrees North, 21.45 degrees West to 17.666 degrees West. All have temperature, salinity, oxygen. Some have phosphate, nitrate. None have silicate. ",1952,1,"2011-01-27 21:34:14","2011-01-27 21:34:14"
3,"natl.1952.AB.30W.joa","A1952ABC.TXT","A section of 12 stations from 12.016 degrees North to 23.066 degrees North, along 30W. All have temperature, salinity, oxygen. Some have phosphate, nitrate. None have silicate. ",1952,1,"2011-01-27 21:34:14","2011-01-27 21:34:14"
4,"natl.1952.AB.38W.joa","A1952ABD.TXT","A section of 7 stations from 16.408 degrees North to 23.333 degrees North, along 38W. All have temperature, salinity, oxygen. Some have phosphate, nitrate. None have silicate. ",1952,1,"2011-01-27 21:34:14","2011-01-27 21:34:14"
5,"natl.1952.AB.45W.joa","A1952ABE.TXT","A section of 6 stations from 14.075 degrees North to 20 degrees North, along 45W. All have temperature, salinity, oxygen. Some have phosphate, nitrate. None have silicate. ",1952,1,"2011-01-27 21:34:14","2011-01-27 21:34:14"
6,"natl.1952.AB.57W_52W.joa","A1952ABF.TXT","A section of 12 stations from 10.275 degrees North to 23.45 degrees North, 57.716 degrees West to 52.933 degrees West. All have temperature, salinity, oxygen. Some have phosphate, nitrate. None have silicate. ",1952,1,"2011-01-27 21:34:14","2011-01-27 21:34:14"
7,"natl.1952.AB.7N_15N.joa","A1952ABG.TXT","A section of 7 stations from 7.783 degrees North to 15 degrees North, 30.058 degrees West to 21.45 degrees West. All have temperature, salinity, oxygen. Some have phosphate, nitrate. None have silicate. ",1952,1,"2011-01-27 21:34:14","2011-01-27 21:34:14"
8,"natl.1954.AT.11N.joa","A1954ATA.TXT","A section of 5 stations along 11N, 71.4 degrees West to 70.9 degrees West. All have temperature, salinity, oxygen. None have phosphate, silicate, nitrate. ",1954,2,"2011-01-27 21:34:14","2011-01-27 21:34:14"
9,"natl.1954.AT.11N_12N.joa","A1954ATB.TXT","A section of 12 stations from 11.8 degrees North to 12.566 degrees North, 71.2 degrees West to 69.866 degrees West. All have temperature, salinity, oxygen. None have phosphate, silicate, nitrate. There are at least 9 full depth casts. ",1954,2,"2011-01-27 21:34:14","2011-01-27 21:34:14"
10,"natl.1954.AT.26N.joa","A1954ATC.TXT","A section of 8 stations along 26N, 80.01 degrees West to 79.03 degrees West. All have temperature, salinity, oxygen. None have phosphate, silicate, nitrate. There are at least 7 full depth casts. ",1954,2,"2011-01-27 21:34:14","2011-01-27 21:34:14"
11,"natl.1954.AT.33N_34N.joa","A1954ATD.TXT","A section of 8 stations from 33.75 degrees North to 34.491 degrees North, 77.316 degrees West to 76.228 degrees West. All have temperature, salinity. None have oxygen, phosphate, silicate, nitrate. There are at least 6 full depth casts. ",1954,2,"2011-01-27 21:34:14","2011-01-27 21:34:14"
12,"natl.1954.AT.35N_36N.joa","A1954ATE.TXT","A section of 7 stations from 35.4 degrees North to 36.021 degrees North, 75.576 degrees West to 74.633 degrees West. All have temperature, salinity. Some have oxygen. None have phosphate, silicate, nitrate. There are at least 5 full depth casts. ",1954,2,"2011-01-27 21:34:14","2011-01-27 21:34:14"
13,"natl.1954.AT.65W_47W.joa","A1954ATF.TXT","A section of 55 stations from 11.333 degrees North to 43 degrees North, 65.183 degrees West to 47.85 degrees West. All have temperature, salinity, oxygen. None have phosphate, silicate, nitrate. There are at least 29 full depth casts. ",1954,2,"2011-01-27 21:34:14","2011-01-27 21:34:14"
