reid_file_id,sub_basin_id
1,5
2,5
3,5
4,5
5,5
6,7
7,5
8,7
9,6
10,6
11,6
12,2
13,7
14,7
15,6
16,6
17,6
18,7
19,6
20,6
21,6
22,7
23,2
24,7
25,7
26,6
27,2
28,2
29,7
30,7
31,2
32,7
33,7
34,7
35,7
36,5
37,2
38,7
39,6
40,6
41,7
42,7
43,2
44,2
45,4
46,3
47,3
48,3
49,4
50,3
51,1
52,1
53,1
54,1
55,1
56,1
57,4
58,1
59,1
60,4
61,1
62,1
63,1
64,1
65,1
66,1
67,4
68,4
69,4
70,4
71,4
72,4
73,4
74,4
75,4
76,1
77,1
78,7
79,7
80,7
81,6
82,6
83,6
84,5
85,1
86,2
87,1
88,1
89,5
90,5
91,1
92,5
93,5
94,5
95,5
96,5
97,5
98,5
99,5
100,5
101,2
102,3
103,3
104,3
105,3
106,2
107,2
108,7
109,7
110,7
111,7
112,7
113,7
114,3
115,2
116,7
117,7
118,7
119,7
120,7
121,7
122,2
123,2
124,2
125,7
126,7
127,7
128,7
129,1
130,7
131,2
132,5
133,2
134,2
135,2
136,2
137,2
138,2
139,2
140,2
141,2
142,2
143,2
144,2
145,2
146,4
147,2
148,7
149,2
150,7
151,7
152,7
153,2
154,4
155,4
156,4
157,4
158,4
159,4
160,4
161,6
162,6
163,6
164,6
165,6
166,1
167,6
168,6
169,6
170,6
171,6
172,6
173,6
174,6
175,6
176,6
177,6
178,6
179,6
180,6
182,6
183,6
184,6
185,6
186,4
187,3
188,3
189,1
190,3
191,3
192,3
193,3
194,3
195,3
196,3
197,3
198,3
199,3
200,3
201,5
202,5
203,5
204,1
205,6
206,6
207,4
208,4
209,5
210,5
211,7
212,7
213,6
215,6
216,1
217,1
218,1
219,1
220,1
221,1
222,1
223,1
224,1
225,3
226,3
227,6
228,1
229,6
230,6
231,7
232,7
233,7
234,7
235,7
236,7
237,7
238,7
239,7
240,6
241,2
242,2
243,2
244,5
245,2
246,7
247,2
248,2
249,7
250,7
251,2
252,2
253,1
254,1
255,1
256,1
257,6
258,7
259,6
260,6
261,7
262,7
263,5
264,5
265,5
266,7
267,4
268,2
269,2
270,2
271,2
272,2
273,2
274,2
275,2
276,2
277,4
278,7
279,7
280,7
281,7
282,2
283,6
284,6
285,6
286,7
287,7
288,7
289,7
290,7
291,7
292,6
293,6
294,6
295,6
296,6
297,6
298,4
299,7
300,4
301,7
302,7
303,4
304,4
305,4
306,4
307,4
308,4
309,4
310,4
311,4
312,4
313,4
314,4
315,4
316,4
317,4
318,6
319,5
320,2
321,5
322,2
323,7
324,7
325,7
326,7
327,7
328,7
329,6
330,6
331,6
332,6
333,6
334,6
335,2
336,2
337,2
338,1
339,1
341,1
342,4
344,2
345,4
346,2
347,2
348,4
349,4
350,4
351,4
352,4
353,4
354,4
355,4
356,4
357,6
358,7
359,6
360,7
361,7
362,6
363,7
364,2
365,7
366,7
367,2
368,5
369,5
370,5
371,5
372,5
373,5
374,5
375,2
376,2
377,4
378,2
379,4
380,4
381,4
382,4
383,2
384,3
385,4
386,3
387,3
388,7
389,7
390,7
391,7
392,7
393,7
394,7
395,7
396,5
397,1
398,5
399,5
400,1
402,1
403,1
404,1
405,1
406,1
407,1
408,1
409,1
410,3
411,6
412,6
413,2
414,2
415,2
416,3
417,3
418,3
419,1
420,3
421,3
422,3
423,1
424,3
425,3
426,1
427,3
428,3
429,3
430,3
431,3
432,1
433,1
434,1
435,1
436,1
437,1
438,1
439,1
441,3
442,3
443,3
444,3
445,3
446,3
447,3
448,3
449,3
450,3
451,7
452,1
453,2
454,2
455,2
456,5
457,5
458,5
459,5
460,5
461,5
462,5
463,5
464,5
465,1
466,2
467,2
468,7
469,2
470,2
471,6
472,6
473,2
474,6
475,6
476,6
477,6
478,6
479,6
480,3
481,3
482,3
483,3
484,6
485,6
486,6
487,6
489,6
490,6
491,6
492,6
493,1
494,1
495,1
496,1
497,1
498,1
499,1
500,1
501,7
502,7
503,7
504,7
505,7
506,7
507,7
508,7
509,7
510,2
511,2
512,2
513,2
514,1
515,5
516,1
517,5
518,1
519,5
520,1
521,3
522,5
523,5
524,1
525,1
526,1
528,1
529,1
530,1
531,3
532,2
533,2
534,2
535,6
536,6
537,6
538,5
539,5
540,6
541,6
542,6
544,2
545,2
546,2
547,2
548,2
549,2
550,2
551,2
552,2
553,2
554,2
555,2
556,2
557,2
558,2
559,2
560,2
561,2
562,2
563,2
565,1
566,1
567,1
568,1
569,1
570,1
571,1
572,3
573,3
574,7
575,1
576,2
577,2
578,7
579,1
580,2
581,2
582,2
583,2
584,2
585,2
587,5
588,5
589,5
590,5
591,5
592,5
593,5
594,3
595,5
596,5
597,5
598,1
599,1
600,5
601,5
602,1
603,1
604,1
605,1
606,1
607,1
608,2
610,2
611,2
612,1
613,2
614,2
615,2
616,4
617,4
618,4
619,2
620,5
621,5
622,5
623,1
624,1
625,2
626,2
627,1
628,1
629,1
630,1
631,1
632,1
633,1
634,1
635,1
636,1
637,1
638,1
639,7
640,7
641,7
642,7
643,2
644,7
645,7
646,7
647,6
648,2
649,2
650,2
651,2
653,2
